platform,agency,url,date_sampled,likes
iPhone App,MOME,http://itunes.apple.com/us/app/miny-discount-vendors/id372448233?mt=8,08/08/2011 12:00:00 AM,350
Linked-In,DOE,http://www.linkedin.com/groups?gid=1545057&home=,08/08/2011 12:00:00 AM,92
Linked-In,DOE,http://www.linkedin.com/company/nyc-teaching-fellows,08/08/2011 12:00:00 AM,901
Linked-In,DOE,http://www.linkedin.com/company/nyc-department-of-education,08/08/2011 12:00:00 AM,11705
Linked-In,ACS,http://www.linkedin.com/companies/260392/City+of+New+York%2C+Administration+for+Children%27s+Services?trk=ncsrch_hits&goback=%2Efcs_GLHD_city+of+new+york_false_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2_*2,08/08/2011 12:00:00 AM,
Linked-In,All,http://www.linkedin.com/company/2904?trk=tyah,08/08/2011 12:00:00 AM,
Linked-In,Dept of Consumer Affairs,http://www.linkedin.com/company/831694?trk=tyah,08/08/2011 12:00:00 AM,
Linked-In,DOF,http://www.linkedin.com/company/298308?trk=tyah,08/08/2011 12:00:00 AM,
Linked-In,DOHMH,http://www.linkedin.com/company/245926?trk=tyah,08/08/2011 12:00:00 AM,
Linked-In,SBS,http://www.linkedin.com/company/workforce1,08/08/2011 12:00:00 AM,
Linked-In,SBS,http://www.linkedin.com/company/small-business-services,08/08/2011 12:00:00 AM,
Newsletter,DOE,,08/08/2011 12:00:00 AM,187180
Newsletter,DOT,,08/08/2011 12:00:00 AM,72614
Newsletter,NYC Digital: external newsletter,,08/08/2011 12:00:00 AM,
Newsletter,NYC Gov,0,08/08/2011 12:00:00 AM,543533
Newsletter,NYCHA,,08/08/2011 12:00:00 AM,
Newsletter,OEM,,08/08/2011 12:00:00 AM,
nyc.gov,,2800000,08/08/2011 12:00:00 AM,
Pinterest,nycgov,http://pinterest.com/nycgov,08/08/2011 12:00:00 AM,
Pinterest,DOH,http://pinterest.com/nychealth,08/08/2011 12:00:00 AM,
Pinterest,FDNY,http://pinterest.com/fdnyhome/,08/08/2011 12:00:00 AM,
Pinterest,DRIS,http://pinterest.com/recordsnyc,08/08/2011 12:00:00 AM,
SMS,DOE,877877,08/08/2011 12:00:00 AM,382
SMS,NYCHA,,08/08/2011 12:00:00 AM,
SMS,OEM,,08/08/2011 12:00:00 AM,61652
Tumblr,NYC Digital,http://nycdigital.tumblr.com,08/08/2011 12:00:00 AM,850
Tumblr,Change By Us,http://nycchangebyus.tumblr.com/,08/08/2011 12:00:00 AM,
Tumblr,DOB,http://nycbuildings.tumblr.com,08/08/2011 12:00:00 AM,
Tumblr,DOH,http://nychealth.tumblr.com/,08/08/2011 12:00:00 AM,
Tumblr,DOH,http://mygooddognyc.tumblr.com/,08/08/2011 12:00:00 AM,
Tumblr,DOT,http://thedailypothole.tumblr.com ,08/08/2011 12:00:00 AM,293
Tumblr,EDC,http://nycedc.tumblr.com/,08/08/2011 12:00:00 AM,819
Tumblr,HRA,http://nycdads.tumblr.com,08/08/2011 12:00:00 AM,
Newsletter,OEM,,01/20/2012 12:00:00 AM,
Tumblr,NYC & Co,nycgo.tumblr.com,08/08/2011 12:00:00 AM,
Tumblr,NYC Digital,madeinny.tumblr.com,08/08/2011 12:00:00 AM,
Tumblr,NYC Digital,http://nycopendata.tumblr.com,08/08/2011 12:00:00 AM,
Tumblr,NYC Gov,nycgov.tumblr.com,08/08/2011 12:00:00 AM,
Tumblr,OEM,http://nyccitizencorpscouncil.tumblr.com/,08/08/2011 12:00:00 AM,
Tumblr,OMB,http://nycarra.tumblr.com,08/08/2011 12:00:00 AM,
Tumblr,TLC,http://nyctlc.tumblr.com/,08/08/2011 12:00:00 AM,
Tumblr,OEM,http://oempublicprivate.tumblr.com/,08/08/2011 12:00:00 AM,
Tumblr,DOITT,http://nycdoitt.tumblr.com/,08/08/2011 12:00:00 AM,
Tumblr,Young Mens Initiative,http://nycyoungmen.tumblr.com ,08/08/2011 12:00:00 AM,
Tumblr,FDNY,http://fdny.tumblr.com/,08/08/2011 12:00:00 AM,
Tumblr,SBS,http://nycheighborhoods.tumblr.com,08/08/2011 12:00:00 AM,
Twitter,NYCDCAS,http://twitter.com/NYCDCAS,08/08/2011 12:00:00 AM,1
Twitter,SBS,https://twitter.com/NYCWorkforce1,08/08/2011 12:00:00 AM,23
Twitter,City Store,http://twitter.com/citystorenyc,08/08/2011 12:00:00 AM,38
Twitter,LPC,https://twitter.com/NYCLPC,08/08/2011 12:00:00 AM,27
Twitter,DOE,http://twitter.com/alumny,08/08/2011 12:00:00 AM,87
Twitter,OEM,http://twitter.com/NYCOEM,08/08/2011 12:00:00 AM,109
Twitter,NYC & Co,http://twitter.com/nycgoshop,08/08/2011 12:00:00 AM,53
Twitter,LMEC,http://twitter.com/nyclmew,08/08/2011 12:00:00 AM,78
Twitter,DPR,http://www.twitter.com/Pearl_Squirrel,08/08/2011 12:00:00 AM,140
Twitter,HRA,http://twitter.com/nychra,08/08/2011 12:00:00 AM,122
Twitter,NYC Digital,http://twitter.com/nycdigital,08/08/2011 12:00:00 AM,87
Twitter,energyNYC,http://twitter.com/energy_nyc,08/08/2011 12:00:00 AM,144
Twitter,DFTA,http://twitter.com/NYCaging,08/08/2011 12:00:00 AM,123
Twitter,DOE,http://twitter.com/TheFundforPS,08/08/2011 12:00:00 AM,212
Twitter,MOPD,http://twitter.com/nyc_mopd,08/08/2011 12:00:00 AM,152
Twitter,NYCCFB,http://twitter.com/NYCCFB,08/08/2011 12:00:00 AM,267
Twitter,EDC,http://twitter.com/AppSciNYC,08/08/2011 12:00:00 AM,188
Twitter,DOB: Cool Roofs,http://twitter.com/nycCoolRoofs,08/08/2011 12:00:00 AM,270
Twitter,DOE,http://twitter.com/nyctf,08/08/2011 12:00:00 AM,380
Twitter,DOT,http://www.Twitter.com/YouTheManNYC,08/08/2011 12:00:00 AM,440
Twitter,City Charter,http://twitter.com/CityCharterNYC,08/08/2011 12:00:00 AM,468
Twitter,DFTA,http://www.twitter.com/timebanksnyc,08/08/2011 12:00:00 AM,577
Twitter,SBS,http://www.twitter.com/NYCBusSolutions,08/08/2011 12:00:00 AM,640
Twitter,MOME,http://www.twitter.com/madeinny,08/08/2011 12:00:00 AM,804
Twitter,GreeNYC,http://www.twitter.com/Birdie_NYC,08/08/2011 12:00:00 AM,817
Twitter,DOI,http://twitter.com/DOINews,08/08/2011 12:00:00 AM,947
Twitter,DCA,http://twitter.com/nycdca,08/08/2011 12:00:00 AM,906
Twitter,DOE,http://twitter.com/iteachnyc,08/08/2011 12:00:00 AM,1151
Twitter,CAU,www.twitter.com/mayorscau,08/08/2011 12:00:00 AM,969
Twitter,HHC,http://twitter.com/HHCnyc,08/08/2011 12:00:00 AM,1064
Twitter,MOIA,https://twitter.com/NYCimmigrants,08/08/2011 12:00:00 AM,1167
Twitter,SBS,http://www.twitter.com/NYCBusinessExp,08/08/2011 12:00:00 AM,1698
Twitter,DEP,http://twitter.com/nycwater,08/08/2011 12:00:00 AM,1497
Twitter,DOITT,http://twitter.com/nycdoitt,08/08/2011 12:00:00 AM,1651
Twitter,PlaNYC,http://twitter.com/PlaNYC,08/08/2011 12:00:00 AM,1650
Twitter,DYCD,http://twitter.com/nycyouth,08/08/2011 12:00:00 AM,1849
Twitter,NYCService,http://twitter.com/nycservice,08/08/2011 12:00:00 AM,1685
Twitter,TLC,http://twitter.com/NYCTaxi,08/08/2011 12:00:00 AM,1877
Twitter,DOB,http://twitter.com/nyc_buildings,08/08/2011 12:00:00 AM,1823
Twitter,NYCHA,http://twitter.com/NYCHA,08/08/2011 12:00:00 AM,2397
Twitter,MOME,http://www.twitter.com/nyc_media,08/08/2011 12:00:00 AM,4022
Twitter,EDC,http://twitter.com/nycedc,08/08/2011 12:00:00 AM,4321
Twitter,DOH,http://twitter.com/nycHealthy,08/08/2011 12:00:00 AM,4371
Twitter,NYC Digital,http://twitter.com/nycgov,08/08/2011 12:00:00 AM,2829
Twitter,311,http://www.twitter.com/NYCASP,08/08/2011 12:00:00 AM,6677
Twitter,DOT,http://twitter.com/NYC_DOT,08/08/2011 12:00:00 AM,9149
